ds,y,vix
2019-01-07 07:00:00,4031.47,43.028
2019-01-07 08:00:00,4039.19,42.598
2019-01-07 09:00:00,3998.76,42.508
2019-01-07 10:00:00,4019.95,42.857
2019-01-07 11:00:00,4014.05,43.008
2019-01-07 12:00:00,4013.34,42.918
2019-01-07 13:00:00,4012.29,42.918
2019-01-07 14:00:00,4029.74,42.918
2019-01-07 15:00:00,4026.07,42.918
2019-01-07 16:00:00,4019.46,42.918
2019-01-07 17:00:00,4009.41,42.918
2019-01-07 18:00:00,4018.2,42.918
2019-01-07 19:00:00,4020.28,42.918
2019-01-07 20:00:00,4011.55,42.918
2019-01-07 21:00:00,4009.99,42.918
2019-01-07 22:00:00,3998.24,42.918
2019-01-07 23:00:00,3997.75,42.918
2019-01-08 00:00:00,4014.72,42.918
2019-01-08 01:00:00,4002.52,42.918
2019-01-08 02:00:00,3970.65,42.918
2019-01-08 03:00:00,3981.34,42.918
2019-01-08 04:00:00,3980.24,42.918
2019-01-08 05:00:00,3975.92,42.918
2019-01-08 06:00:00,3978.72,42.728
2019-01-08 07:00:00,3983.01,43.347
2019-01-08 08:00:00,3993.48,42.888
2019-01-08 09:00:00,3999.48,42.478
2019-01-08 10:00:00,4001.26,42.218
2019-01-08 11:00:00,4025.61,42.017
2019-01-08 12:00:00,4030.95,42.017
2019-01-08 13:00:00,4049.64,42.017
2019-01-08 14:00:00,4055.09,42.017
2019-01-08 15:00:00,4067.67,42.017
2019-01-08 16:00:00,4013.01,42.017
2019-01-08 17:00:00,4009.78,42.017
2019-01-08 18:00:00,4003.48,42.017
2019-01-08 19:00:00,4010.47,42.017
2019-01-08 20:00:00,4009.96,42.017
2019-01-08 21:00:00,4005.36,42.017
2019-01-08 22:00:00,3993.74,42.017
2019-01-08 23:00:00,3992.48,42.017
2019-01-09 00:00:00,3979.94,42.017
2019-01-09 01:00:00,4004.15,42.017
2019-01-09 02:00:00,4019.69,42.017
2019-01-09 03:00:00,4021.77,42.017
2019-01-09 04:00:00,4023.79,42.017
2019-01-09 05:00:00,4022.66,42.017
2019-01-09 06:00:00,4011.93,41.278
2019-01-09 07:00:00,4020.37,41.557
2019-01-09 08:00:00,4015.43,41.237
2019-01-09 09:00:00,4018.03,40.948
2019-01-09 10:00:00,4017.97,41.188
2019-01-09 11:00:00,4034.03,40.838
2019-01-09 12:00:00,4008.53,41.057
2019-01-09 13:00:00,4002.54,41.057
2019-01-09 14:00:00,3998.79,41.057
2019-01-09 15:00:00,3994.51,41.057
2019-01-09 16:00:00,3996.61,41.057
2019-01-09 17:00:00,3997.48,41.057
2019-01-09 18:00:00,4005.01,41.057
2019-01-09 19:00:00,4006.96,41.057
2019-01-09 20:00:00,4008.88,41.057
2019-01-09 21:00:00,4009.07,41.057
2019-01-09 22:00:00,4006.31,41.057
