Timestamp,Open,High,Low,Close,Volume (BTC),Volume (Currency),Weighted Price
5/31/2015 0:00,232.11,232.11,231.92,231.92,223.37,51822.18,232
5/31/2015 1:00,231.88,232.32,231.87,232.32,217.49,50452.68,231.98
5/31/2015 2:00,231.97,232.51,231.88,232.51,46.45,10782.23,232.14
5/31/2015 3:00,232.49,232.49,231.93,232.49,8.85,2057.04,232.38
5/31/2015 4:00,232.49,232.49,231.9,232.22,14.78,3429,232.05
5/31/2015 5:00,232.22,232.22,231.88,232.21,44.8,10392.68,232
5/31/2015 6:00,232.21,232.33,231.88,232.23,15.84,3674.51,232.02
5/31/2015 7:00,232.23,232.41,231.88,232.4,42.76,9926.06,232.11
5/31/2015 8:00,232.39,232.45,231.88,232.4,39.48,9164.24,232.11
5/31/2015 9:00,232.39,232.5,231.5,232.01,271.19,62891.23,231.91
5/31/2015 10:00,232.01,232.04,231.39,231.86,55.59,12884.87,231.78
5/31/2015 11:00,231.81,231.81,229.99,230.38,923.7,213149.52,230.76
5/31/2015 12:00,230.63,231.28,230.01,230.41,90.1,20796.93,230.82
5/31/2015 13:00,230.4,231.19,230.01,231.19,175.9,40511.67,230.31
5/31/2015 14:00,230.91,231.15,230.06,230.29,94.01,21679.54,230.61
5/31/2015 15:00,230.6,231.54,230.34,231.32,75.47,17437.03,231.06
5/31/2015 16:00,231.32,232.42,231.01,232.38,542.26,125785.62,231.97
5/31/2015 17:00,232.16,232.3,231.4,231.4,290.97,67415.5,231.69
5/31/2015 18:00,231.73,232.31,231.4,232.2,58.48,13567.97,232
5/31/2015 19:00,232.1,232.1,231.01,231.52,176.33,40815.17,231.48
5/31/2015 20:00,231.5,231.54,231.01,231.28,51.45,11891.86,231.14
5/31/2015 21:00,231.11,231.29,229.99,230.36,294.34,67758.56,230.2
5/31/2015 22:00,230.29,230.29,228,228.55,544.52,124554.19,228.74
5/31/2015 23:00,228.57,229.29,228.22,228.91,74.08,16942.08,228.71
6/1/2015 0:00,228.91,229.48,228.19,229.26,60.61,13883.78,229.08
6/1/2015 1:00,229.26,229.85,229.06,229.76,60.9,13978.22,229.53
6/1/2015 2:00,229.74,230.22,229.21,230.22,93.48,21473.78,229.73
6/1/2015 3:00,229.89,230.05,229.21,229.5,24.13,5540.43,229.59
6/1/2015 4:00,229.75,230.02,229.13,229.32,25.11,5765.96,229.59
6/1/2015 5:00,229.76,230.19,229.12,229.47,70.99,16305.57,229.69
6/1/2015 6:00,229.47,229.49,229.15,229.49,36.7,8421.52,229.45
6/1/2015 7:00,229.49,231.13,229.13,231,1015.35,234123.2,230.58
