Trade Date,Open,High,Low,Close,Settle,Change,Total Volume,EFP,Prev. Day Open Interest
2019-06-07,-0.014836795252226,-0.019264448336252,-0.0061162079510704,0.0065907729179149,0.015174506828528,-2.6666666666667,-0.066599795413691,0.35770750988142,-0.1076517843462
2019-06-06,-0.023754345307068,-0.021142857142857,-0.015060240963855,0.0024024024024026,-0.0090225563909774,-0.75,-0.038795284234643,1.5555555555556,-0.065868304286484
2019-06-05,-0.054246575342466,-0.04735982580294,-0.034883720930232,-0.032539221382917,-0.034833091436865,-0.42857142857143,-0.14943284697018,-0.71994342291372,-0.06613921633526
2019-06-04,-0.021447721179625,-0.028042328042328,-0.033707865168539,-0.05750273822563,-0.057455540355677,-11.5,-0.14877838061997,1.3180327868852,-0.10288079942898
2019-06-03,0.071223434807582,0.0079999999999999,0.024165707710012,0.0032967032967034,0.0055020632737275,-0.86666666666667,-0.004266886893087,,-0.03524622224181
2019-05-31,-0.02300785634119,0.050420168067227,0.013411078717201,0.045376220562895,0.043041606886657,-3.1428571428571,0.53302807465474,-1.0,-0.015660671001188
2019-05-30,0.024137931034483,-0.019230769230769,-0.011527377521614,-0.021910112359551,-0.019690576652602,-1.875,-0.27653192074008,-0.85701519213584,-0.042428679731231
2019-05-29,0.029585798816568,0.04,0.051515151515152,0.02475532527346,0.023021582733813,-0.38461538461538,0.55159468005732,24.431818181818,-0.024174955536526
2019-05-28,-0.025936599423631,0.0086455331412103,-0.0060240963855423,0.026595744680851,0.038863976083707,-2.0833333333333,-0.21111983108171,-0.76151761517615,-0.029743907415328
2019-05-24,0.067692307692308,-0.015323496027242,0.021538461538462,-0.02478386167147,-0.034632034632034,-1.5454545454545,-0.36991010825862,1.4276315789474,-0.057206424250852
2019-05-23,0.0,0.055089820359282,0.012461059190031,0.069667077681874,0.067796610169491,-23.0,0.22299097179225,0.83132530120482,0.066407987741585
2019-05-22,0.012461059190031,0.040498442367601,0.085926928281462,0.077740863787375,0.079866888519135,-0.95454545454546,0.52833344336612,0.88636363636364,5.022385616051
2019-05-21,0.012618296529969,-0.0625,-0.04025974025974,-0.060549313358302,-0.068217054263566,-5.4,-0.17295039449616,0.047619047619048,-0.16304158257966
